date,bigger truth,free press,decades,Boston Globe,facts,priest,account,cardinal,serial abuse,secrets of government,Father Thomas,long time,day of work,Sedition Acts,years,congratulations,public characters,journalists,democracy,bad place,free expression,church,nation,country,long shot,opportunity,question,Espionage Acts,parish warning,McCarthy era,ample reason,Harvard Class,Good morning,good effects,powerful interests,James Madison,Supreme Court,Woodrow Wilson,Imperial Japan,Alien,John Adams,right,disinformation,delusions,archdiocese,official power,knowledge,expertise,Governor,Justice Hugo Black,President Bacow,shocking case,commitment,life,policy,similar offenses,Council of Massachusetts,friends,graduation,high honor,newspaper,American colonies,hundreds of stories,Misinformation,deceit,study,subjects,deep gratitude,parents,professors,home,abusing,start date,measures,need,words,death,people,lawsuit,editor,summer,real urgency,today's crisis,science,medicine
2020-01-05,0,65,100,60,81,71,68,71,66,52,69,83,68,68,100,45,54,38,44,69,42,74,98,87,100,67,59,31,30,67,0,38,79,75,61,100,8,24,75,58,40,80,11,50,14,27,70,72,5,36,17,37,72,90,72,39,26,80,18,68,90,18,34,12,42,78,45,0,55,67,64,69,54,44,87,83,51,57,85,75,37,73,27,83,100
2020-01-12,21,65,81,57,90,70,65,75,50,33,100,85,70,96,92,44,55,44,53,87,76,71,84,84,91,73,71,51,0,35,64,24,80,77,29,45,10,26,74,58,48,78,13,55,16,62,76,88,6,34,0,0,71,96,72,0,19,78,18,72,94,20,0,16,56,89,57,32,58,84,64,77,44,53,86,87,52,57,84,80,39,0,0,88,96
2020-01-19,22,65,75,53,83,70,66,78,39,26,83,88,78,85,93,41,99,46,46,86,60,72,86,86,91,82,68,89,29,100,0,28,79,79,61,35,10,23,59,60,49,80,17,52,19,55,80,85,6,36,17,0,76,100,70,39,30,79,18,77,88,24,34,16,57,89,64,0,60,89,64,92,40,55,87,87,54,58,80,79,41,0,0,83,97
2020-01-26,28,62,81,53,94,70,67,73,64,50,80,91,71,88,95,45,56,49,51,82,61,71,90,88,82,91,85,52,0,33,0,33,88,87,30,38,11,29,67,59,48,80,23,62,17,54,85,87,5,35,0,37,79,95,72,38,39,78,18,75,90,26,34,23,51,98,67,100,100,89,62,78,43,67,87,92,100,69,86,79,40,0,79,84,96
2020-02-02,32,68,88,54,96,69,66,69,64,33,68,100,93,96,97,48,71,46,54,88,65,68,91,87,76,100,78,69,0,76,0,30,78,80,45,37,10,31,71,60,49,82,26,51,17,81,82,86,6,70,0,73,85,93,72,0,19,76,18,100,93,25,34,26,53,94,64,0,73,81,61,90,40,63,85,88,57,64,83,78,41,71,0,81,95
2020-02-09,21,69,90,54,98,65,67,75,38,25,55,90,94,82,90,44,49,52,51,99,71,69,87,88,74,87,76,69,29,51,65,18,75,87,40,38,10,34,73,60,55,84,43,47,17,49,84,84,5,35,0,37,77,97,76,38,19,83,18,83,94,20,33,22,56,91,58,0,62,74,63,95,38,69,85,90,55,63,79,82,43,0,27,83,95
2020-02-16,0,69,83,50,91,68,70,73,51,33,71,91,86,81,92,45,59,53,48,97,60,74,83,89,69,77,73,51,0,50,64,37,79,83,30,39,11,31,55,58,74,83,25,58,18,46,82,85,6,0,33,73,79,96,73,38,38,95,20,84,92,19,100,23,51,90,60,33,61,84,64,72,40,63,87,85,59,63,82,79,47,0,0,79,97
2020-02-23,21,68,80,52,100,81,74,74,37,24,71,92,88,72,93,45,62,54,51,80,56,91,88,93,69,81,79,75,0,32,0,24,82,90,48,36,12,32,93,58,57,86,25,63,18,52,86,82,6,34,0,36,81,97,77,37,47,81,21,78,94,18,0,27,64,100,65,0,75,80,63,89,38,73,89,87,64,71,85,82,50,69,25,84,97
2020-03-01,0,70,83,58,96,69,67,74,55,40,54,87,85,81,88,44,50,49,50,96,48,72,83,90,64,76,78,62,0,31,63,31,81,82,72,35,14,31,62,56,51,85,19,53,22,49,83,92,9,85,0,35,79,94,87,37,37,76,21,71,91,19,0,27,56,92,58,0,59,72,65,84,47,86,89,86,72,75,96,79,50,0,0,79,94
2020-03-08,20,80,78,89,85,78,65,72,37,60,48,95,78,67,88,38,79,47,39,90,56,78,100,94,63,66,66,100,0,52,0,100,77,81,67,34,10,32,84,55,43,100,23,49,100,52,76,81,29,34,0,0,71,87,100,37,47,72,20,62,94,15,0,36,47,79,52,0,56,63,67,82,50,81,85,79,78,95,72,74,46,68,25,71,97
