phrase,count
years,9
lives,9
world,9
country,9
way,9
life,9
people,8
fact,8
friends,8
united states,8
time,8
future,8
faculty,8
parents,8
class,8
members,8
children,8
order,8
college,8
power,7
harvard,7
times,7
graduates,7
moment,7
day,7
democracy,7
issues,6
difference,6
business,6
night,6
washington,6
attention,6
world war,6
example,6
decades,6
chance,6
point,6
mind,6
americans,6
board of overseers,6
family,6
opportunity,6
morning,6
hope,6
yard,6
past,6
president faust,6
reality,6
society,6
freedom,6
applause,6
answer,5
progress,5
head,5
evidence,5
half,5
countries,5
information,5
individuals,5
stories,5
values,5
professors,5
students,5
courage,5
case,5
voice,5
questions,5
politics,5
earth,5
rest,5
history,5
reason,5
problem,5
families,5
women,5
office,5
change,5
challenges,5
intelligence,5
challenge,5
work,5
job,5
cambridge,5
experience,5
prosperity,4
occasion,4
united nations,4
politicians,4
terrorists,4
president,4
century,4
governments,4
resources,4
religion,4
question,4
god,4
task,4
heart,4
congratulations,4
story,4
dad,4
message,4
energy,4
kids,4
graduation,4
eyes,4
alumni,4
talent,4
planet,4
long time,4
knowledge,4
ability,4
climate change,4
years old,4
church,4
facebook,4
faith,4
wealth,4
india,4
sense,4
needs,4
poverty,4
death,4
benefits,4
development,4
issue,4
interests,4
humanity,4
support,4
cold war,4
capacity,4
fellows,4
response,4
fear,4
efforts,4
care,4
human beings,4
peace,4
enemies,4
risks,4
argument,4
light,4
iraq,4
individual,4
rwanda,4
girls,4
pressure,4
answers,4
choice,4
homes,4
behalf,4
spring,4
examples,4
young people,4
career,4
lessons,4
honor,4
joy,4
word,4
course,4
campus,4
honorary degree,4
harvard university,4
good luck,4
member,4
dollars,4
graduation day,4
luck,4
purpose,4
discussion,4
harvard corporation,4
beginning,4
guys,4
company,4
diseases,4
percent,4
internet,4
hearts,4
situation,4
access,4
rise,4
ideas,4
mother,4
right,4
thought,4
hard work,4
minds,4
security,4
harvard graduates,4
names,4
size,4
party,4
congress,4
risk,4
aspirations,4
generation,4
dreams,4
ladies,4
gentlemen,4
research,4
person,4
great university,4
mistakes,4
mike bloomberg,4
vote,4
movies,4
laughter,4
,4
